R:\TRICKSFILES\S1-Vocab Learning\Data\S2.emrg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,Counterbalance,Counterbalance.Cycle,Counterbalance.Sample,Procedure[Block],Running[Block],Trial,CEAns,CEcorrect,CECorrectAns,CEEnd,CEList,CEList.Cycle,CEList.Sample,CEStart,Chinese,EC,EC.Cycle,EC.Sample,ECAns,ECcorrect,ECCorrectAns,ECEnd,ECStart,English,Procedure[Trial],Running[Trial]
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,11,drink,Incorrect,Guzzle,160021,11,1,11,155414,狂饮,,,,,,,,,Guzzle,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,12,discomfort,Incorrect,Malaise,164468,12,1,12,160214,不适,,,,,,,,,Malaise,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,13,s,Incorrect,Gripe,174308,13,1,13,164664,牢骚,,,,,,,,,Gripe,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,14,scream,Incorrect,Squall,181636,14,1,14,174514,尖叫,,,,,,,,,Squall,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,15,petal,Incorrect,Blazon,216004,15,1,15,181847,徽章,,,,,,,,,Blazon,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,16,h,Incorrect,Fulminate,221940,16,1,16,216212,责骂,,,,,,,,,Fulminate,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,17,,Incorrect,Proselytize,229733,17,1,17,222145,改变宗教,,,,,,,,,Proselytize,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,18,,Incorrect,Revel,237204,18,1,18,229945,狂欢,,,,,,,,,Revel,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,19,,Incorrect,Sepulchral,280196,19,1,19,237412,阴森,,,,,,,,,Sepulchral,CEProc,CEList
S2-VOCAB (4 trials),16,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">23609867152475</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2020-01-17T19:01:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,432685449,1/17/20,11:01:42,7:01:42 PM,1,2,2,1,CEL1,Counterbalance,20,,Incorrect,Augur,287316,20,1,20,280393,预言,,,,,,,,,Augur,CEProc,CEList
