Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency (Word Learned/Minute)
18,EC,CE,0.25,0.5603374476629259
18,PI,CE,0.3333333333333333,0.8933955732249348
18,RE,CE,0.25,1.5241837149437745
19,CE,EC,0.5416666666666666,1.2151652624756966
19,EC,EC,0.4166666666666667,0.6873135661951696
19,PI,EC,0.375,0.9094859383368534
19,RE,EC,0.125,2.086666202963066
20,CE,CE,0.16666666666666666,0.3379015749029237
20,EC,CE,0.16666666666666666,0.40502911146738674
20,PI,CE,0.4166666666666667,0.9269358282326116
20,RE,CE,0.16666666666666666,2.254918541067704
21,CE,EC,0.2916666666666667,0.8326955942472629
21,EC,EC,0.25,0.6334994509671424
21,PI,EC,0.4166666666666667,1.0960105217010083
21,RE,EC,0.3,2.303941019109911
22,CE,CE,0,0
22,EC,CE,0.0625,0.1284571017508703
22,PI,CE,0.1,0.17933038035973672
22,RE,CE,0.09090909090909091,0.3204392153511747
23,CE,CE,0.5416666666666666,1.2045178685593039
23,EC,CE,0.041666666666666664,0.1053441065239605
23,PI,CE,0.4090909090909091,0.8134539253671088
23,RE,CE,0.4090909090909091,5.711505510545131
24,CE,CE,0.16666666666666666,0.41235979766879266
24,EC,CE,0.20833333333333334,0.6596799233012143
24,PI,CE,0.18181818181818182,0.5640157924421884
24,RE,CE,0.16666666666666666,1.945052273279844
25,CE,EC,0.4166666666666667,0.44899895682575697
25,EC,EC,0.375,0.357864266060153
25,PI,EC,0.375,0.5577751794176827
25,RE,EC,0.5909090909090909,1.2114848766304567
26,CE,EC,0.1111111111111111,0.32178138172925314
26,EC,EC,0.2,0.6099730595232045
26,PI,EC,0.09090909090909091,0.35604927721996726
26,RE,EC,0.18181818181818182,1.1233220377061763
27,CE,CE,0.18181818181818182,0.2069525716443934
27,EC,CE,0.22727272727272727,0.33364028239313503
27,PI,CE,0.4166666666666667,0.4389661469307487
27,RE,CE,0.08333333333333333,0.2814483331222471
28,CE,EC,0.375,0.6892502488959231
28,EC,EC,0.3333333333333333,0.9224914957815232
28,PI,EC,0.5,1.1666002352643807
28,RE,EC,0,0
29,CE,CE,0.25,0.45643921624315026
29,EC,CE,0.08333333333333333,0.16769285376903661
29,PI,CE,0.375,0.753001547836515
29,RE,CE,0.041666666666666664,0.27825441728887446
30,CE,CE,0.125,0.18452983847488139
30,EC,CE,0,0
30,PI,CE,0.375,0.548428245273361
30,RE,CE,0.16666666666666666,0.2909224909753419
31,CE,CE,0.041666666666666664,0.10997631843276413
31,EC,CE,0,0
31,PI,CE,0.08333333333333333,0.2855388832574276
31,RE,CE,0,0
32,CE,CE,0.8333333333333334,2.3115508194447654
32,EC,CE,0.5416666666666666,1.80908158957969
32,PI,CE,0.9166666666666666,2.6234721256086657
32,RE,CE,0.3333333333333333,4.392949316347262
33,CE,CE,0.25,0.31262320393627346
33,EC,CE,0.08333333333333333,0.12393954229127031
33,PI,CE,0.4166666666666667,0.5084659582040982
33,RE,CE,0.08333333333333333,0.3086880244480915
34,CE,EC,0.125,0.4502408788701956
34,EC,EC,0.2,0.6408270941695414
34,PI,EC,0.045454545454545456,0.11270695815190646
34,RE,EC,0,0
35,CE,CE,0.75,1.0195758564437192
35,EC,CE,0.5,0.900589886375576
35,PI,CE,0.875,1.0187004293094666
35,RE,CE,0.25,0.6838360161233336
36,CE,EC,0.08333333333333333,0.5035204471261571
36,EC,EC,0.18181818181818182,1.1576307158016592
36,PI,EC,0.2,0.9009753057684945
36,RE,EC,0,0
37,CE,CE,0.5,1.3104680919220562
37,EC,CE,0.22727272727272727,0.6221562275764526
37,PI,CE,0.6818181818181818,1.6715637292958259
37,RE,CE,0.2,0.8325008325008325
38,CE,EC,0.6363636363636364,0.7419826128741049
38,EC,EC,0.7083333333333334,0.9213176649113458
38,PI,EC,0.6666666666666666,0.7349192277836214
38,RE,EC,0.4166666666666667,1.2280637119453757
39,CE,CE,0.75,0.7863764646261655
39,EC,CE,0.9166666666666666,1.3213848112822237
39,PI,CE,0.9166666666666666,0.8640428565256837
39,RE,CE,0.875,2.4441814901747785
40,CE,EC,0.4,0.6946695688417542
40,EC,EC,0.4166666666666667,0.8486995094516835
40,PI,EC,0.36363636363636365,0.7293768690282268
40,RE,EC,0,0
41,CE,EC,0.7083333333333334,1.5169902912621358
41,EC,EC,0.8333333333333334,2.267008229239872
41,PI,EC,0.8333333333333334,1.3569994029202628
41,RE,EC,0.7916666666666666,1.2712771651857402
42,CE,CE,0.75,1.2636633600808744
42,EC,CE,0.16666666666666666,0.2654943615634963
42,PI,CE,0.8888888888888888,1.6491161767989968
42,RE,CE,0.125,1.2356611817039767
43,CE,EC,0.36363636363636365,1.283319519824613
43,EC,EC,0.08333333333333333,0.3628337314425664
43,PI,EC,0.2222222222222222,0.7922099356329427
43,RE,EC,0,0
44,CE,EC,0.35,0.7755602499519891
44,EC,EC,0.5454545454545454,1.0554584794361508
44,PI,EC,0.625,1.3334044482372391
44,RE,EC,0.22727272727272727,1.0867281513305176
45,CE,CE,0.35,0.8234389949338897
45,EC,CE,0.13636363636363635,0.2754256090731316
45,PI,CE,0.3,0.632168971742047
45,RE,CE,0.18181818181818182,0.7593927389397611
46,CE,CE,0.5,1.3176580823682709
46,EC,CE,0.08333333333333333,0.18813849501746552
46,PI,CE,0.6666666666666666,1.541465419792416
46,RE,CE,0.45454545454545453,5.067054014795798
47,CE,EC,0.375,0.8050521494892392
47,EC,EC,0.6666666666666666,1.2045018255730793
47,PI,EC,0.75,1.0580165324879651
47,RE,EC,0.25,0.8834139039532772
48,CE,CE,0.4166666666666667,0.6184457633372983
48,EC,CE,0.15,0.4079449546274556
48,PI,CE,0.5909090909090909,1.12200833738503
48,RE,CE,0.2,0.7656283895006826
49,CE,EC,0.9090909090909091,2.377000146581676
49,EC,EC,0.9090909090909091,2.1809933697801562
49,PI,EC,0.75,1.62125939429749
49,RE,EC,0.6666666666666666,3.2595409479831594
50,CE,CE,0.125,0.4515918613111217
50,EC,CE,0,0
50,PI,CE,0.25,0.9300451071876985
50,RE,CE,0.09090909090909091,0.8401125750850614
51,CE,EC,0.5,1.1083675593130584
51,EC,EC,0.08333333333333333,0.2224009667028686
51,PI,EC,0.4166666666666667,0.900152125709245
51,RE,EC,0.125,0.8148335928729222
52,CE,CE,0,0
52,EC,CE,0,0
52,PI,CE,0,0
52,RE,CE,0,0
53,CE,EC,0.625,1.0043611593452457
53,EC,EC,0.4583333333333333,0.7713127743419299
53,PI,EC,0.4166666666666667,0.9581572719346153
53,RE,EC,0.125,0.4998805840826913
54,CE,EC,0.25,0.35596971093281865
54,EC,EC,0.4583333333333333,0.526874595863236
54,PI,EC,0.4583333333333333,0.6181222196206977
54,RE,EC,0.25,0.5785273778439443
