Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency(Word Learned /Minute)
27,EC,CE,0.18181818181818182,0.26691222591450803
27,PI,CE,0.4166666666666667,0.4389661469307487
27,RE,CE,0.08333333333333333,0.2814483331222471
28,CE,EC,0.3333333333333333,0.6126668879074872
28,EC,EC,0.3333333333333333,0.9224914957815232
28,PI,EC,0.4166666666666667,0.9721668627203173
28,RE,EC,0,0
29,CE,CE,0.25,0.45643921624315026
29,EC,CE,0.08333333333333333,0.16769285376903664
29,PI,CE,0.25,0.50200103189101
29,RE,CE,0,0
30,CE,CE,0.08333333333333333,0.12301989231658758
30,EC,CE,0,0
30,PI,CE,0.3333333333333333,0.4874917735763209
30,RE,CE,0.16666666666666666,0.2909224909753419
31,CE,CE,0,0
31,EC,CE,0,0
31,PI,CE,0.08333333333333333,0.2855388832574276
31,RE,CE,0,0
32,CE,CE,0.75,2.0803957375002886
32,EC,CE,0.5,1.6699214673043292
32,PI,CE,0.9166666666666666,2.6234721256086657
32,RE,CE,0.3333333333333333,4.392949316347263
33,CE,CE,0.25,0.31262320393627346
33,EC,CE,0.08333333333333333,0.12393954229127031
33,PI,CE,0.3333333333333333,0.40677276656327865
33,RE,CE,0,0
34,CE,EC,0.125,0.4502408788701956
34,EC,EC,0.2,0.6408270941695414
34,PI,EC,0,0
34,RE,EC,0,0
35,CE,CE,0.6666666666666666,0.9062896501721949
35,EC,CE,0.4166666666666667,0.7504915719796467
35,PI,CE,0.8333333333333334,0.9701908850566349
35,RE,CE,0.16666666666666666,0.4558906774155557
36,CE,EC,0.08333333333333333,0.5035204471261571
36,EC,EC,0.18181818181818182,1.1576307158016592
36,PI,EC,0.2,0.9009753057684945
36,RE,EC,0,0
37,CE,CE,0.5,1.3104680919220562
37,EC,CE,0.18181818181818182,0.49772498206116206
37,PI,CE,0.5454545454545454,1.3372509834366606
37,RE,CE,0.2,0.8325008325008325
38,CE,EC,0.45454545454545453,0.5299875806243607
38,EC,EC,0.5833333333333334,0.7587321946328729
38,PI,EC,0.5833333333333334,0.6430543243106687
38,RE,EC,0.3333333333333333,0.9824509695563005
39,CE,CE,0.5833333333333334,0.6116261391536842
39,EC,CE,0.9166666666666666,1.3213848112822237
39,PI,CE,0.9166666666666666,0.8640428565256837
39,RE,CE,0.8333333333333334,2.327791895404551
40,CE,EC,0.2,0.3473347844208771
40,EC,EC,0.3333333333333333,0.6789596075613469
